mean_constant,lengthscale,outputscale,noise,nu,iteration
-1.2826182052134053e-05,0.6598829369606221,0.9900724799054897,0.009937220166043897,2.5,1
-0.07740623715063213,1.3906441954845783,0.9262951973503322,0.009353060407166398,2.5,2
-0.1781181409286906,1.7564320934609943,0.8804784100942932,1.7399818816809957e-06,2.5,3
-0.0031133419060140385,0.04852844100001089,0.9548159889376893,1.540572644835791e-06,2.5,4
-0.000358509757520264,0.047376023283806364,0.9968903753511791,1.5398898682512968e-06,2.5,5
2.4006374109621862e-05,0.04738852370645184,0.9998356836753911,1.5399040663001986e-06,2.5,6
1.3506488552738103e-06,0.04740699696293618,0.9999913284253401,1.5399050258312843e-06,2.5,7
-7.344252816088507e-07,0.047426082369994155,0.9999977657847764,1.5399050403022956e-06,2.5,8
-4.090690267509033e-07,0.04744585469907135,0.9999979444549827,1.5399050132619478e-06,2.5,9
-3.8563561199275725e-07,0.04746626387993125,0.999997942853971,1.5399049841410676e-06,2.5,10
-3.803158870011395e-07,0.047487361007851794,0.9999979393500138,1.5399049540246839e-06,2.5,11
-3.759092034221243e-07,0.04750915991961408,0.9999979364466505,1.5399049229091282e-06,2.5,12
-3.756070762861703e-07,0.04753200920805032,0.9999979248114481,1.539904890236284e-06,2.5,13
-3.6920214058417944e-07,0.04755541013596459,0.9999979281778755,1.5399048568715845e-06,2.5,14
-3.636322897217414e-07,0.04757921069275041,0.9999979334022385,1.5399048229463115e-06,2.5,15
-3.554171280331771e-07,0.04760306671643197,0.9999979470616818,1.539904788994138e-06,2.5,16
-3.547019744619432e-07,0.04762777425726143,0.9999979402030835,1.5399047536909714e-06,2.5,17
-3.2494407609027895e-07,0.047649956664948416,0.9999980157167012,1.5399047225239175e-06,2.5,18
-3.19880149774161e-07,0.04767206900048159,0.9999980196724629,1.5399046909895673e-06,2.5,19
-3.012817072186625e-07,0.047693125703416245,0.9999980566645528,1.5399046611744138e-06,2.5,20
-2.879097756811967e-07,0.04771320825102509,0.9999980844785292,1.5399046326880927e-06,2.5,21
-2.892350280759874e-07,0.04773387735056484,0.9999980791018392,1.5399046031469923e-06,2.5,22
-2.840006629787041e-07,0.04775482074273108,0.9999980859025396,1.5399045732915592e-06,2.5,23
-2.7397440211727504e-07,0.04777520187611242,0.9999981077741716,1.5399045443348008e-06,2.5,24
-2.735249398988794e-07,0.047796205120858734,0.9999981020383752,1.5399045143085656e-06,2.5,25
-2.734399893874043e-07,0.047818114003536395,0.9999980960777253,1.5399044829857992e-06,2.5,26
-2.7327880820172184e-07,0.04784093616374775,0.9999980906140724,1.5399044503600419e-06,2.5,27
-2.739284759200637e-07,0.047864775895588144,0.999998083673385,1.5399044162692396e-06,2.5,28
-2.687563637558396e-07,0.0478888355943432,0.9999980929245043,1.5399043819669978e-06,2.5,29
-2.6572378655441445e-07,0.047913148645773194,0.9999980978503428,1.5399043472722138e-06,2.5,30
-2.600284845888826e-07,0.0479373497275561,0.9999981103004868,1.5399043127836218e-06,2.5,31
