mean_constant,lengthscale,outputscale,noise,alpha,beta,iteration
0.0043946226587161415,10.140228915813136,1.0129486698010937,3.410706712923926e-07,0.35720889438027004,4.877119222473256,1
0.15290699035609137,11.207133621207928,1.7520587207839722,2.573821434830261e-13,1.9876729381371818,4.992245642397053,2
-0.05683035833728225,8.730959775620537,1.1079015882071932,1.5513709370351085e-13,1.9923071782280202,5.687541607677282,3
-0.11613638469340319,9.446110096077158,1.04572224371637,1.4194384062559723e-13,1.9940898271682537,5.959071083960503,4
-0.19021555669206666,9.244386548083586,0.9555378504779903,1.312783071345363e-13,1.99510811756626,6.3130820301040655,5
-0.26245284250583373,8.709635921297068,0.8806649145424341,1.2556898034790528e-13,1.9955852896815491,6.667283681195123,6
-0.30416380970862267,8.289775749847356,0.8110857774723728,1.216202738900012e-13,1.9958595676077655,6.909392136452164,7
-0.3704855841777252,8.644554599210686,0.7582047705234104,1.182162968651016e-13,1.996102550781455,7.078059300696989,8
-0.4229860446591894,8.910375218235064,0.7236705006216287,1.1550965305868634e-13,1.9962993308908565,7.270051399756712,9
-0.4767998737868687,9.195519449795864,0.6938902757106219,1.1283852897892139e-13,1.9964939293333435,7.469256954110004,10
-0.5394894665010554,9.179572007909224,0.6736262222733578,1.1087571895819409e-13,1.9966375645345764,7.698596411238236,11
-0.5883355812396285,9.459245366696225,0.6448782606045127,1.0962716664938226e-13,1.9967809155783076,7.908530353555037,12
-0.6420099472831886,9.60127257598948,0.6154297374422424,1.0931627046022036e-13,1.9969019404577666,8.139723026899182,13
-0.6847173197061164,9.637471353842658,0.5884800356213024,1.095383443901909e-13,1.99699346831934,8.371714593434891,14
-0.7261750773035732,9.916416609461304,0.5737298163040323,1.1168923266684717e-13,1.9970751646149891,8.588234018739811,15
-0.7485214196151988,10.137995117266307,0.5528099073438232,1.156322061947198e-13,1.9971421313239521,8.806226923297656,16
-0.7845756837455125,10.297317659944563,0.5311652060546146,1.2125238643749595e-13,1.99719730105377,9.026443117348897,17
-0.8168765154464102,10.450806248360264,0.5121179478996986,1.2893880465610878e-13,1.997244493698942,9.243843128061922,18
-0.8529212644635957,10.514297967288483,0.49855986443904193,1.3840687386462267e-13,1.9972848664578404,9.466775672672004,19
-0.8861885228871336,10.640231843046413,0.4816255326982142,1.51044273670441e-13,1.9973271929983427,9.683275450348859,20
-0.918206875527964,10.769628466360754,0.466430442725954,1.6889570073614557e-13,1.9973739953976366,9.900876139511103,21
-0.9485197299448911,10.998615661643832,0.4571903842294459,1.9646399211338652e-13,1.997441458862969,10.11374270033901,22
-0.9802972454885305,10.972672653714879,0.44381555795844074,2.389266280837924e-13,1.997488668297215,10.349749007109917,23
-1.005329881346598,10.951176080632987,0.43167427516897977,3.1256812754247717e-13,1.9974922272330218,10.570130867773889,24
-1.027206131961092,11.006650236645745,0.4211309417113843,4.634105187030103e-13,1.9974643313404852,10.769577615866266,25
-1.0523232977711716,11.097517001264189,0.41255802425160903,8.970130002190812e-13,1.9974186774067653,10.958124977093348,26
-1.0629893717937444,11.101578318278069,0.408341257561279,2.6257949464510913e-12,1.9973660661898105,11.136478121901792,27
-1.166962907451211,11.448417131197301,0.4079195103590753,6.261994587211933e-11,1.997389352223753,11.290164136870835,28
-1.244788393044488,11.62844481566678,0.4024414144308107,1.0565057274724142e-10,1.9975489240243876,11.48839293680818,29
-1.250232536421677,11.700759437794813,0.3934911533935543,9.339341512411386e-11,1.9976985134168583,11.693615008484228,30
-1.2980437107824778,11.905253176349683,0.39272056013485024,1.1697161916570862e-10,1.9978514068113347,11.893969266424136,31
-1.319643957175252,12.021770130777512,0.38325982765395417,1.1740175721760964e-10,1.9979933584554173,12.102650570154056,32
-1.3469517178057235,12.17897470507979,0.3765375797970086,1.2313849800568847e-10,1.998124986529891,12.30714881776149,33
-1.3747976737298704,12.349445749247018,0.37426192169329564,1.2913438491611498e-10,1.9982451024981889,12.509830566568077,34
-1.3898199429951492,12.355265856056352,0.36904937365068163,1.280852500959425e-10,1.998349055610818,12.723117963467576,35
-1.3483955173707405,11.715274624601163,0.36587359281452847,1.0703497175634073e-10,1.9983551353569071,12.959968344366384,36
-1.2951689290855883,10.529660037670583,0.3341290254732501,6.993285177914579e-11,1.998062575819116,13.130562592719702,37
-1.2945225063880714,10.462855908439167,0.32495501141000166,7.58439507847393e-11,1.9975373611782392,13.117865893105218,38
-1.2952174464120385,10.432570813757472,0.3247870997328304,6.577973917542092e-11,1.9962515570067418,13.070361593702623,39
-1.3035958535552727,10.51125637704477,0.3220577417494959,5.470614366424281e-11,1.9911938332916441,12.99204129548746,40
-1.4022392209163423,12.429317497825432,0.3265821743711235,1.9670352650007458e-11,1.9035426992004756,12.731186451283602,41
-1.5314391016559887,14.147860787115611,0.3566830449340886,3.286767796245136e-12,1.8624724306060538,12.642461395277952,42
-1.5463398814382847,14.116972394815244,0.34985596053001733,1.9474719411393902e-12,1.8660321715957207,12.816692554725659,43
-1.5690276218389256,14.275972722194377,0.34657237962860654,1.4098094576936625e-12,1.8645040234972876,12.96134197967229,44
-1.5893982063674148,14.398524766114399,0.342462359305296,1.1100127953587326e-12,1.8642224482532754,13.115043809415507,45
-1.608749752403344,14.547778585331242,0.33912348800064385,9.169020537288913e-13,1.8635741267036239,13.265657556548152,46
-1.6304860421371368,14.896359319921604,0.34227239146171423,7.810453168791807e-13,1.8562439771786765,13.382246490471891,47
-1.6548119521280698,15.351124883542214,0.34746505137277733,6.810221410763297e-13,1.8451319113448927,13.479663674470986,48
-1.6885718517534039,16.090892143545258,0.3591972914233387,6.076126046111662e-13,1.823209957592756,13.522994397261996,49
-1.7028177992050197,16.314487397441678,0.35701114625622404,5.498443540186042e-13,1.818738840051283,13.654845449993182,50
-1.7180553317213196,16.458729753400778,0.35420498901658637,5.014588782005086e-13,1.8184443066362486,13.800786796022248,51
-1.7360050869715533,16.49086786765119,0.3508970991072902,4.607546846292025e-13,1.821326086180423,13.969022190313932,52
-1.750363359607916,16.594859642564447,0.3479488052666731,4.2570608882300796e-13,1.8223650406598515,14.124729925688671,53
-1.7646716882396254,16.707152562961348,0.3449535440712375,3.952051111652011e-13,1.823088068683636,14.279213521175627,54
-1.7832891238010407,16.768659035155515,0.34386558933202327,3.686044131384585e-13,1.8229439240762098,14.442817066345327,55
-1.806498636255766,16.868901026808132,0.3434178482445723,3.457400648672433e-13,1.8154900163254464,14.596900839590155,56
-1.825422411365546,18.147801214400875,0.3538667074134383,3.292180591110568e-13,1.76343039236071,14.501415275936436,57
-1.8384083361560446,18.790782728979348,0.3582791190368439,3.1633458205744687e-13,1.751402744486244,14.522961909895658,58
-1.8555284130908245,18.885178814118536,0.35514879085408213,3.0459503426309756e-13,1.7527718575646654,14.66120098423916,59
-1.8707182750278357,18.939473733986574,0.3519507264165543,2.933364934887016e-13,1.754806661283938,14.808932561217791,60
-1.8866653458075593,19.012170887147793,0.3493410027620166,2.825343655465243e-13,1.756446929616091,14.953804655853844,61
-1.9017592992595915,19.075876335224862,0.3465240971917139,2.721820571892513e-13,1.7582566838714442,15.101533949774705,62
-1.9139232083305615,19.114412132486358,0.3432774108106673,2.622625916926957e-13,1.7601429458436697,15.254662212770949,63
-1.9296842185748835,19.285654058481015,0.3469159695545835,2.5296695784890447e-13,1.7588940135903783,15.380585881823198,64
-1.9511281235845563,19.509181115462972,0.3466700136640859,2.4435470255826355e-13,1.7561972604983227,15.497892317041359,65
-1.968677286851209,20.03201657969897,0.35015258451044196,2.365415604557443e-13,1.7469285181266347,15.550956709200696,66
-1.9843324520776817,20.058678623885797,0.3480140102376597,2.292073428354913e-13,1.749576387256208,15.710837003748773,67
-1.9975799973448107,20.16699525631948,0.3461794169592433,2.221283971062011e-13,1.7500851324589877,15.853882333910335,68
-2.011434488778878,20.230947547922376,0.343783854039834,2.1529292388845082e-13,1.751831780858613,16.00741612249325,69
-2.02451575396485,20.31710732246046,0.34156923203568124,2.0868849344564727e-13,1.7528362108937774,16.15701702472601,70
-2.0400446949676097,20.604151527195032,0.3459041971924819,2.0253777081749825e-13,1.7484262472756682,16.26237941733907,71
-2.0557793333119125,20.793668812811234,0.34415840134171555,1.9679619190216603e-13,1.7462378755033612,16.388795253197216,72
-2.0694913640037913,20.695246580857418,0.3416489682986583,1.912069201955701e-13,1.7513224411396202,16.57714331688918,73
-2.0827247774327806,20.77043677075246,0.3392946047652891,1.8572608329776494e-13,1.752421969207307,16.729352004586517,74
-2.0940513047734677,20.819199219926517,0.3372083968996821,1.8040796929492944e-13,1.7541297286036805,16.88742055555412,75
-2.109377725628257,20.97768607622453,0.340046760018372,1.753653717881981e-13,1.7523472970434766,17.02310498363371,76
-2.116696948749478,20.8567791620888,0.33900371132181706,1.7039750114596383e-13,1.759315851338873,17.2165811231473,77
-2.1284712048288084,20.878006102896425,0.33730342171532757,1.655039457146388e-13,1.7616938758836378,17.38147582041278,78
-2.141169053368913,20.993664135286966,0.3358909016639476,1.6078886478320076e-13,1.7609945496439152,17.52739360402646,79
-2.156070955684845,21.086501042801665,0.33354687935081373,1.562718194475026e-13,1.7608868085861615,17.678970938364643,80
-2.1722744022488456,21.20806924443012,0.33138359728833544,1.519648925732072e-13,1.7599315442227543,17.82615819512857,81
-2.183274175894949,21.29307532615145,0.3292057306098555,1.4781002182304854e-13,1.7605355819529531,17.98152976781799,82
-2.1958108037223614,21.37864579913785,0.32736804870909186,1.4378005204778438e-13,1.7614482807292442,18.13779329138302,83
-2.207907140143794,21.456689081497487,0.32547601932912285,1.3987376080055803e-13,1.762277678268715,18.296650855868744,84
-2.220567798678541,21.567778251172793,0.32457624361105936,1.360971692899041e-13,1.7625814722504587,18.450498510244863,85
-2.2313921168500657,21.619752993824793,0.32280345845138014,1.3243758804219686e-13,1.7639073598971,18.616685311554864,86
-2.2429206988090997,21.696477067492285,0.3209498886134731,1.288855579134785e-13,1.7648828492519932,18.779158569562128,87
-2.2540263824806694,21.76042169541281,0.3198171302888699,1.2544562777649962e-13,1.7658596427647204,18.945349344667747,88
-2.265705484729736,21.852692093092237,0.31815372278896464,1.2211611657240813e-13,1.766250850329228,19.107202571564464,89
-2.2775055022076156,21.938378777026653,0.3164214621644049,1.1889451518016e-13,1.7667124179956266,19.27158158145216,90
-2.289261044656483,22.007215391704236,0.3149184705415639,1.1576856141178817e-13,1.7678623800760187,19.44054321376675,91
-2.300942438017579,22.085959465810603,0.313861106259917,1.1273485776444601e-13,1.7689960733910928,19.608930301868753,92
-2.3110393277309953,22.20665956219836,0.3174335836752616,1.0985763263193002e-13,1.7666427815333445,19.767345212699976,93
