mean_constant,lengthscale,outputscale,noise,alpha,beta,iteration
0.008111025601185418,5.352997818187866,1.0108409091370656,4.378531058622129e-07,0.3244963946789161,4.306677687903416,1
-0.07051866319581367,3.9760251401025766,0.9727805292002732,2.2112306751627492e-08,0.8986388811283649,4.984467925775779,2
-0.1086533045812037,2.619441704525112,0.9471490733321282,4.00987546255489e-08,0.9580167754340839,5.561398589584238,3
-0.1733652670781485,2.024436078807142,0.9499462544457354,0.0001763220755093862,1.464183186403719,5.833833227070878,4
-0.21610687887804775,1.4517199530981428,0.892512445490794,0.000187352937992626,1.7377456769555044,6.1137893681273585,5
-0.2655168610091853,1.5155942793353037,0.8682494901030813,0.00018820540110425413,1.7733126151540386,6.253424055908383,6
-0.3061153258791702,1.4936140879824749,0.8525453794351603,0.00019182955020764195,1.776162936831269,6.374130821184155,7
-0.34649721752075524,1.6344390108316305,0.830285456798791,0.00018754548870408415,1.7550317338773884,6.482218855818637,8
-0.38283738321495403,2.0219711688031743,0.8162554428561501,0.00018664561431311314,1.6761027253830603,6.59447137255974,9
-0.4256663792566989,2.5875221069546535,0.8119098617186409,0.0001847236694917589,1.5948820734081595,6.746649585657596,10
-0.4521117142188565,2.4739663721481633,0.8097800513306552,0.0001894324022809835,1.6122862048254198,6.965523991082841,11
-0.49081992407273983,2.4047933876148546,0.7930135723591936,0.00019172781120408192,1.6187900112516282,7.143828320950278,12
-0.5248618706687913,2.626691696944037,0.7841163932643505,0.00019157423648197164,1.5995645869060051,7.288843882794096,13
-0.5555636302847823,2.9100682056114113,0.7814094366092649,0.0001928648816660852,1.5752071655711182,7.435150159432659,14
-0.5911828110901655,3.036447846428923,0.7702682277601132,0.00019204056730787693,1.5761953853844093,7.597692048638353,15
-0.6260694593371626,3.262694369939178,0.7661095014045232,0.00019302478692729308,1.5648435679409733,7.748155976334857,16
-0.6600343747441987,3.4401997200994248,0.760563068750934,0.00019308321877523356,1.5597295234386153,7.901344277997133,17
-0.6753878829208445,3.4437273868891363,0.7813720938155949,0.0001969505640484792,1.5509612026173805,8.065799637062641,18
-0.706451867560587,3.6234974823283412,0.7751936428235402,0.00019711515478301845,1.5482139370173902,8.209888268875307,19
-0.7356757104403092,3.682687392889323,0.7643238594999276,0.00019597398475556147,1.5546682780945955,8.362081781927618,20
-0.7641142706958147,3.8427888883191432,0.7588007098676706,0.00019584381772887944,1.5512863484728494,8.49994884521869,21
-0.7883940518110969,3.993018838923195,0.7654276445811363,0.00019860445875622478,1.5423354235070739,8.636046719706963,22
-0.8152469530862799,4.124185745213826,0.7619182141482039,0.00019899577801022267,1.5415588003020622,8.77150943876651,23
-0.8442105417064829,4.96148303790899,0.8149068141280658,0.00020110731472140287,1.4983055934018064,8.811688717926549,24
-0.869918120803672,5.855763780054411,0.8721873985353183,0.00020096273030620405,1.4635294665876013,8.81774528026537,25
-0.9202978486726419,7.009001974952886,0.9390253013970997,0.0001997307875770006,1.4290249759696279,8.749198719653835,26
-0.9714498901850553,6.080658145703991,0.906074850388568,0.0002065015332894568,1.4532661495134789,9.05025827641058,27
-0.9971414079152423,5.8492758030716185,0.8849628833116457,0.00019977567936351866,1.47970021368328,9.239587211641727,28
-0.9905578288805672,5.886124951424812,0.8799964331813942,0.00020309532208259208,1.469946536031,9.374409036180566,29
-1.011559788256399,6.027650780821938,0.8985874810518334,0.0001925283713130865,1.487078482048115,9.49376466349046,30
-1.0347138676188887,6.294691737670056,0.877023200400197,0.00018621001547393105,1.485663898334733,9.594385315431893,31
-1.0451107410295573,6.683473490649516,0.870935117462998,0.00017876285272417565,1.4810270909073722,9.6741531349589,32
-1.061545920623487,6.980022123608413,0.8495001516548513,0.00017310410378950505,1.4778631726233928,9.763722784339626,33
