iteration,best_obj_val
1,-21.15713461
2,-21.14178506
3,-21.13294771
4,-21.08677981
5,-21.08677981
6,-21.08677981
7,-21.08677981
8,-21.08677981
9,-21.02993079
10,-21.02993079
11,-21.02993079
12,-21.01408764
13,-21.01408764
14,-21.01408764
15,-21.01408764
16,-21.01408764
17,-21.01408764
18,-21.01408764
19,-21.01408764
20,-21.01408764
21,-21.01408764
22,-21.01408764
23,-21.01408764
24,-21.01408764
25,-21.01408764
26,-21.01408764
27,-21.01408764
28,-21.01408764
29,-21.01408764
30,-21.01408764
31,-21.01408764
32,-21.01408764
33,-20.96453061
34,-20.94943278
35,-20.94943278
36,-20.94943278
37,-20.94943278
38,-20.94943278
39,-20.94943278
40,-20.94943278
41,-20.94943278
42,-20.94943278
43,-20.94943278
44,-20.94943278
45,-20.94943278
46,-20.94943278
47,-20.94943278
48,-20.94943278
49,-20.94943278
50,-20.94943278
51,-20.94943278
52,-20.94943278
53,-20.94943278
54,-20.94943278
55,-20.94943278
56,-20.94943278
57,-20.94943278
58,-20.94943278
59,-20.94943278
60,-20.94943278
61,-20.94943278
62,-20.94943278
63,-20.94943278
64,-20.94943278
65,-20.94943278
66,-20.94943278
67,-20.94943278
68,-20.94943278
69,-20.94943278
70,-20.94943278
71,-20.94943278
72,-20.94943278
73,-20.94943278
74,-20.94389281
75,-20.94389281
76,-20.94389281
77,-20.94389281
78,-20.94389281
79,-20.94389281
80,-20.94389281
81,-20.94389281
82,-20.94389281
83,-20.94389281
84,-20.94389281
85,-20.94389281
86,-20.94389281
87,-20.94389281
88,-20.94389281
89,-20.94389281
90,-20.94389281
91,-20.94389281
92,-20.94389281
93,-20.94389281
94,-20.94389281
95,-20.94389281
96,-20.94389281
97,-20.94389281
98,-20.94389281
99,-20.94389281
100,-20.94389281
101,-20.94389281
102,-20.94389281
103,-20.87996427
104,-20.87996427
105,-20.87996427
106,-20.87996427
107,-20.87996427
108,-20.87996427
109,-20.87996427
110,-20.87996427
111,-20.87996427
112,-20.87996427
113,-20.87996427
114,-20.87996427
115,-20.87996427
116,-20.87996427
117,-20.87996427
118,-20.87996427
119,-20.87996427
120,-20.87996427
121,-20.87996427
122,-20.87996427
123,-20.87996427
124,-20.87996427
125,-20.87996427
126,-20.87996427
127,-20.87996427
128,-20.87996427
129,-20.87996427
130,-20.87996427
131,-20.87996427
132,-20.87996427
133,-20.87996427
134,-20.87996427
135,-20.87996427
136,-20.87996427
137,-20.87996427
138,-20.87996427
139,-20.87996427
140,-20.87996427
141,-20.87996427
142,-20.87996427
143,-20.87996427
144,-20.87996427
145,-20.87996427
146,-20.87996427
147,-20.87996427
