mean_constant,lengthscale,outputscale,noise,nu,iteration
2.2667621464214655e-05,0.705920347114853,0.9999551607756727,4.900439306109768e-08,0.5,1
-0.08577974418075804,4.613743238961501,1.1307508182072652,6.81504606508845e-09,0.5,2
-0.1311911410635421,7.551081292576994,1.316966217895706,2.762013056123784e-09,0.5,3
-0.18592464073823284,9.514023235791798,1.3844288155638083,1.6460882007685018e-09,0.5,4
-0.2791057264421293,9.630233913990637,1.3642738933701826,1.165666547951558e-09,0.5,5
-0.35368978352302866,8.758671833070165,1.2693485638218949,9.167334589092212e-10,0.5,6
-0.3730069333554055,8.242730993041594,1.1799336042779907,7.608313892257064e-10,0.5,7
-0.42482427054560407,8.48399598720201,1.1428741320146392,6.453558169118258e-10,0.5,8
-0.4904174156523679,9.074928899506938,1.1301827502919986,5.538344237382755e-10,0.5,9
-0.5399562798280206,9.793041952718985,1.1309502332463892,4.796880932353103e-10,0.5,10
-0.5789835244161685,10.591868530308458,1.1306508325690514,4.165112927681702e-10,0.5,11
-0.6201632037272669,11.414049492381418,1.134837157123429,3.628135301960126e-10,0.5,12
-0.6613495230726825,12.13602821254163,1.1417901910328794,3.1804841632367714e-10,0.5,13
-0.6980771826745698,12.819795015240429,1.1513134118601378,2.8119425495651436e-10,0.5,14
-0.7315216752482653,13.619693069660887,1.1477163757056177,2.4829920217168956e-10,0.5,15
-0.7679950723541092,14.238593274634104,1.1540171098479666,2.2052644918791326e-10,0.5,16
-0.8016024045764817,14.916000388283507,1.146882899227133,1.9591653672898807e-10,0.5,17
-0.8348133955900161,15.596012129578366,1.152154039586657,1.7458080056164651e-10,0.5,18
-0.8667115967217329,16.304041796795705,1.1550538374620989,1.5583102701051062e-10,0.5,19
-0.8965613821649199,17.022742578050654,1.1581867249346791,1.3924891635455616e-10,0.5,20
-0.9261996051129467,17.752297804135242,1.1636889434606732,1.2469903750625134e-10,0.5,21
-0.9547839564163411,18.48712046155708,1.1704237274064961,1.1196771886756215e-10,0.5,22
-0.9831247213192205,19.184940295728897,1.184090610086241,1.0101874564683454e-10,0.5,23
-1.0085669461728541,19.907075236644033,1.1924189140888855,9.134988131603555e-11,0.5,24
-1.0356130130612262,20.622842414079557,1.203346895438793,8.28711852150081e-11,0.5,25
-1.0618392727896004,21.305113920706244,1.2188240367970662,7.552671123604031e-11,0.5,26
-1.0847067386784814,21.986358601461713,1.2289852413039473,6.895372177901607e-11,0.5,27
-1.1069898391347621,22.688419844447925,1.2370454457294335,6.303103079655819e-11,0.5,28
-1.1331229587321077,23.34693691337173,1.2526410351296453,5.784841468200347e-11,0.5,29
-1.153647552081677,24.031608973129774,1.261884107395183,5.3158943426443696e-11,0.5,30
-1.1759578514320643,24.7332386508467,1.2697874839329628,4.889464646449906e-11,0.5,31
-1.1989560421876073,25.416338523785935,1.2844243700259244,4.510914522676895e-11,0.5,32
-1.219843938699588,26.11572628024856,1.2934095504063172,4.1650945327234204e-11,0.5,33
-1.241780974126711,26.802268474324503,1.3087778823408918,3.8566259886294217e-11,0.5,34
-1.2623829233393569,27.500840180452936,1.3191043039111823,3.57349599393543e-11,0.5,35
-1.2817600772317412,28.211804189649616,1.329078142750447,3.314412395932255e-11,0.5,36
-1.3027640353053054,28.919702035261206,1.3408055359008295,3.079880709200945e-11,0.5,37
