seed,kernel,iteration,best_obj_val
1,rbf,1,-20.800064557526987
1,rbf,2,-20.800064557526987
1,rbf,3,-20.800064557526987
1,rbf,4,-20.800064557526987
1,rbf,5,-20.505152590338557
1,rbf,6,-20.505152590338557
1,rbf,7,-20.505152590338557
1,rbf,8,-18.349716937990475
1,rbf,9,-18.349716937990475
1,rbf,10,-18.349716937990475
1,rbf,11,-18.349716937990475
1,rbf,12,-18.23042670316742
1,rbf,13,-18.23042670316742
1,rbf,14,-18.125407703681866
1,rbf,15,-17.43876656615498
1,rbf,16,-17.43876656615498
1,rbf,17,-17.43876656615498
1,rbf,18,-17.060711939963596
1,rbf,19,-17.060711939963596
1,rbf,20,-17.060711939963596
1,rbf,21,-17.060711939963596
1,rbf,22,-16.65839333027356
1,rbf,23,-16.65839333027356
1,rbf,24,-16.65839333027356
1,rbf,25,-16.65839333027356
1,rbf,26,-16.65839333027356
1,rbf,27,-16.65839333027356
1,rbf,28,-16.65839333027356
1,rbf,29,-16.535685373700044
1,rbf,30,-16.535685373700044
1,rbf,31,-16.535685373700044
1,rbf,32,-16.535685373700044
1,rbf,33,-16.535685373700044
1,rbf,34,-16.095684549761486
1,rbf,35,-15.371716001320223
1,rbf,36,-15.106686730106112
1,rbf,37,-15.006512190983717
1,rbf,38,-15.006512190983717
1,rbf,39,-15.006512190983717
1,rbf,40,-13.860119446835105
1,rbf,41,-13.860119446835105
1,rbf,42,-13.860119446835105
1,rbf,43,-13.380691777347236
1,rbf,44,-13.380691777347236
1,rbf,45,-13.380691777347236
1,rbf,46,-12.920826246594636
1,rbf,47,-12.920826246594636
1,rbf,48,-12.920826246594636
1,rbf,49,-12.920826246594636
1,rbf,50,-12.658078997239217
2,rbf,1,-20.541232217270316
2,rbf,2,-20.541232217270316
2,rbf,3,-20.541232217270316
2,rbf,4,-20.541232217270316
2,rbf,5,-20.541232217270316
2,rbf,6,-20.032779007589344
2,rbf,7,-20.032779007589344
2,rbf,8,-20.032779007589344
2,rbf,9,-20.032779007589344
2,rbf,10,-20.032779007589344
2,rbf,11,-19.07895255086676
2,rbf,12,-19.07895255086676
2,rbf,13,-19.07895255086676
2,rbf,14,-19.07895255086676
2,rbf,15,-19.07895255086676
2,rbf,16,-19.07895255086676
2,rbf,17,-18.586995397543348
2,rbf,18,-18.586995397543348
2,rbf,19,-18.586995397543348
2,rbf,20,-18.586995397543348
2,rbf,21,-18.586995397543348
2,rbf,22,-18.15413283711876
2,rbf,23,-18.15413283711876
2,rbf,24,-17.669253399577237
2,rbf,25,-16.85930495713595
2,rbf,26,-16.450560078713767
2,rbf,27,-16.33885252588587
2,rbf,28,-16.33885252588587
2,rbf,29,-15.173431516711194
2,rbf,30,-15.173431516711194
2,rbf,31,-15.173431516711194
2,rbf,32,-15.173431516711194
2,rbf,33,-13.782434259834707
2,rbf,34,-13.618397569975974
2,rbf,35,-13.618397569975974
2,rbf,36,-13.618397569975974
2,rbf,37,-13.618397569975974
2,rbf,38,-13.618397569975974
2,rbf,39,-13.618397569975974
2,rbf,40,-13.541987233910337
2,rbf,41,-13.541987233910337
2,rbf,42,-12.905798863126583
2,rbf,43,-12.905798863126583
2,rbf,44,-12.905798863126583
2,rbf,45,-9.930182142098626
2,rbf,46,-9.591089447029363
2,rbf,47,-9.591089447029363
2,rbf,48,-9.591089447029363
2,rbf,49,-9.591089447029363
2,rbf,50,-9.591089447029363
3,rbf,1,-19.876523739522728
3,rbf,2,-19.876523739522728
3,rbf,3,-19.876523739522728
3,rbf,4,-19.876523739522728
3,rbf,5,-19.79541509024609
3,rbf,6,-19.79541509024609
3,rbf,7,-19.79541509024609
3,rbf,8,-19.79541509024609
3,rbf,9,-19.79541509024609
3,rbf,10,-19.79541509024609
3,rbf,11,-19.79541509024609
3,rbf,12,-19.79541509024609
3,rbf,13,-19.79541509024609
3,rbf,14,-19.79541509024609
3,rbf,15,-19.79541509024609
3,rbf,16,-19.79541509024609
3,rbf,17,-19.79541509024609
3,rbf,18,-19.79541509024609
3,rbf,19,-19.59627273896126
3,rbf,20,-19.476239511731237
3,rbf,21,-19.476239511731237
3,rbf,22,-19.476239511731237
3,rbf,23,-19.476239511731237
3,rbf,24,-19.476239511731237
3,rbf,25,-19.468348974271745
3,rbf,26,-19.468348974271745
3,rbf,27,-19.468348974271745
3,rbf,28,-19.285977795949197
3,rbf,29,-19.113013949232187
3,rbf,30,-18.39879962800935
3,rbf,31,-17.74695094364652
3,rbf,32,-16.939565884166328
3,rbf,33,-16.939565884166328
3,rbf,34,-16.939565884166328
3,rbf,35,-16.939565884166328
3,rbf,36,-16.939565884166328
3,rbf,37,-16.939565884166328
3,rbf,38,-16.939565884166328
3,rbf,39,-16.939565884166328
3,rbf,40,-16.939565884166328
3,rbf,41,-16.939565884166328
3,rbf,42,-16.939565884166328
3,rbf,43,-15.503531047418148
3,rbf,44,-15.105337851651349
3,rbf,45,-13.893312125441916
3,rbf,46,-13.888532841908741
3,rbf,47,-13.888532841908741
3,rbf,48,-13.888532841908741
3,rbf,49,-13.888532841908741
3,rbf,50,-13.888532841908741
4,rbf,1,-19.86146370693314
4,rbf,2,-18.98428732294
