seed,kernel,iteration,best_obj_val
1,rbf,1,-21.144573886654126
1,rbf,2,-21.144573886654126
1,rbf,3,-21.144573886654126
1,rbf,4,-21.144573886654126
1,rbf,5,-21.144573886654126
1,rbf,6,-21.144573886654126
1,rbf,7,-21.144573886654126
1,rbf,8,-21.144573886654126
1,rbf,9,-21.144573886654126
1,rbf,10,-21.144573886654126
1,rbf,11,-21.144573886654126
1,rbf,12,-21.144573886654126
1,rbf,13,-21.144573886654126
1,rbf,14,-21.144573886654126
1,rbf,15,-21.144573886654126
1,rbf,16,-21.144573886654126
1,rbf,17,-21.144573886654126
1,rbf,18,-21.144573886654126
1,rbf,19,-21.144573886654126
1,rbf,20,-21.144573886654126
1,rbf,21,-21.144573886654126
1,rbf,22,-20.593624860604486
1,rbf,23,-20.593624860604486
1,rbf,24,-20.593624860604486
1,rbf,25,-20.593624860604486
1,rbf,26,-20.593624860604486
1,rbf,27,-20.593624860604486
1,rbf,28,-20.593624860604486
1,rbf,29,-20.579948715041045
1,rbf,30,-20.579948715041045
1,rbf,31,-20.579948715041045
1,rbf,32,-20.51790801325242
1,rbf,33,-20.51790801325242
1,rbf,34,-20.51790801325242
1,rbf,35,-20.51790801325242
1,rbf,36,-20.51790801325242
1,rbf,37,-19.855176527786387
1,rbf,38,-19.855176527786387
1,rbf,39,-19.486112822826097
1,rbf,40,-19.379251391152255
1,rbf,41,-19.379251391152255
1,rbf,42,-19.379251391152255
1,rbf,43,-19.379251391152255
1,rbf,44,-19.379251391152255
1,rbf,45,-19.379251391152255
1,rbf,46,-19.379251391152255
1,rbf,47,-19.379251391152255
1,rbf,48,-19.379251391152255
1,rbf,49,-18.47681781292011
1,rbf,50,-18.47681781292011
1,rbf,51,-18.408859235409984
1,rbf,52,-18.408859235409984
1,rbf,53,-18.408859235409984
1,rbf,54,-18.408859235409984
1,rbf,55,-18.408859235409984
1,rbf,56,-18.18558722205127
1,rbf,57,-18.18558722205127
1,rbf,58,-18.18558722205127
1,rbf,59,-17.81537948231368
1,rbf,60,-17.81537948231368
1,rbf,61,-17.81537948231368
1,rbf,62,-17.628164264665205
1,rbf,63,-17.628164264665205
1,rbf,64,-17.628164264665205
1,rbf,65,-17.628164264665205
1,rbf,66,-17.38225950785711
1,rbf,67,-17.38225950785711
1,rbf,68,-17.38225950785711
1,rbf,69,-17.38225950785711
1,rbf,70,-17.25967580072525
1,rbf,71,-17.25967580072525
1,rbf,72,-17.25967580072525
1,rbf,73,-17.25967580072525
1,rbf,74,-17.25967580072525
1,rbf,75,-17.25967580072525
1,rbf,76,-17.25967580072525
1,rbf,77,-17.25967580072525
1,rbf,78,-17.25967580072525
1,rbf,79,-17.25967580072525
1,rbf,80,-17.25967580072525
1,rbf,81,-17.25967580072525
1,rbf,82,-17.014080790476292
1,rbf,83,-17.014080790476292
1,rbf,84,-17.014080790476292
1,rbf,85,-17.014080790476292
1,rbf,86,-17.014080790476292
1,rbf,87,-17.00391209835255
1,rbf,88,-17.00391209835255
1,rbf,89,-16.725567178734277
1,rbf,90,-16.725567178734277
1,rbf,91,-16.725567178734277
1,rbf,92,-16.725567178734277
1,rbf,93,-16.725567178734277
1,rbf,94,-16.725567178734277
1,rbf,95,-16.725567178734277
1,rbf,96,-16.521762545351862
1,rbf,97,-16.48684015390395
1,rbf,98,-16.48684015390395
1,rbf,99,-16.48684015390395
1,rbf,100,-16.06769890855513
2,rbf,1,-21.103161269664664
2,rbf,2,-21.103161269664664
2,rbf,3,-21.103161269664664
2,rbf,4,-21.103161269664664
2,rbf,5,-21.103161269664664
2,rbf,6,-21.103161269664664
2,rbf,7,-21.103161269664664
2,rbf,8,-21.103161269664664
2,rbf,9,-21.103161269664664
2,rbf,10,-21.103161269664664
2,rbf,11,-21.103161269664664
2,rbf,12,-21.103161269664664
2,rbf,13,-21.103161269664664
2,rbf,14,-21.103161269664664
2,rbf,15,-21.103161269664664
2,rbf,16,-21.103161269664664
2,rbf,17,-21.103161269664664
2,rbf,18,-21.103161269664664
2,rbf,19,-21.103161269664664
2,rbf,20,-21.103161269664664
2,rbf,21,-21.103161269664664
2,rbf,22,-21.103161269664664
2,rbf,23,-21.103161269664664
2,rbf,24,-21.103161269664664
2,rbf,25,-21.103161269664664
2,rbf,26,-21.103161269664664
2,rbf,27,-21.103161269664664
2,rbf,28,-21.103161269664664
2,rbf,29,-21.103161269664664
2,rbf,30,-21.103161269664664
2,rbf,31,-21.103161269664664
2,rbf,32,-21.103161269664664
2,rbf,33,-21.103161269664664
2,rbf,34,-21.103161269664664
2,rbf,35,-20.865251576004038
2,rbf,36,-20.385466263230914
2,rbf,37,-20.385466263230914
2,rbf,38,-20.385466263230914
2,rbf,39,-19.41001663828106
2,rbf,40,-19.41001663828106
2,rbf,41,-18.918963251611153
2,rbf,42,-18.918963251611153
2,rbf,43,-18.918963251611153
2,rbf,44,-18.918963251611153
2,rbf,45,-18.918963251611153
2,rbf,46,-17.007250883755745
2,rbf,47,-17.007250883755745
2,rbf,48,-17.007250883755745
2,rbf,49,-17.007250883755745
2,rbf,50,-17.007250883755745
2,rbf,51,-17.007250883755745
2,rbf,52,-17.007250883755745
2,rbf,53,-17.007250883755745
2,rbf,54,-17.007250883755745
2,rbf,55,-17.007250883755745
2,rbf,56,-17.007250883755745
2,rbf,57,-17.007250883755745
2,rbf,58,-17.007250883755745
2,rbf,59,-17.007250883755745
2,rbf,60,-16.166624797567156
2,rbf,61,-16.07271546666704
2,rbf,62,-16.07271546666704
2,rbf,63,-16.07271546666704
2,rbf,64,-15.958499732051031
2,rbf,65,-15.958499732051031
2,rbf,66,-15.88399782272855
2,rbf,67,-15.88399782272855
2,rbf,68,-15.88399782272855
2,rbf,69,-15.88399782272855
2,rbf,70,-15.88399782272855
2,rbf,71,-15.88399782272855
2,rbf,72,-15.88399782272855
2,rbf,73,-15.88399782272855
2,rbf,74,-15.88399782272855
2,rbf,75,-15.872349788361122
2,rbf,76,-15.872349788361122
2,rbf,77,-15.872349788361122
2,rbf,78,-15.671947364283154
2,rbf,79,-15.671947364283154
2,rbf,80,-15.439476544845888
2,rbf,81,-15.439476544845888
2,rbf,82,-15.439476544845888
2,rbf,83,-15.402348644861549
2,rbf,84,-15.402348644861549
2,rbf,85,-15.402348644861549
2,rbf,86,-15.165195030821678
2,rbf,87,-15.165195030821678
2,rbf,88,-14.603179800469391
2,rbf,89,-14.240355419809624
2,rbf,90,-14.240355419809624
2,rbf,91,-14.240355419809624
2,rbf,92,-14.240355419809624
2,rbf,93,-13.73172349763617
2,rbf,94,-13.73172349763617
2,rbf,95,-13.73172349763617
2,rbf,96,-13.491076451813596
2,rbf,97,-13.491076451813596
2,rbf,98,-13.491076451813596
2,rbf,99,-13.491076451813596
2,rbf,100,-13.491076451813596
3,rbf,1,-21.12330825043936
3,rbf,2,-21.12330825043936
3,rbf,3,-21.12330825043936
3,rbf,4,-21.12330825043936
3,rbf,5,-21.12330825043936
3,rbf,6,-21.12330825043936
3,rbf,7,-21.12330825043936
3,rbf,8,-21.12330825043936
3,rbf,9,-21.12330825043936
3,rbf,10,-21.12330825043936
3,rbf,11,-21.12330825043936
3,rbf,12,-21.12330825043936
3,rbf,13,-21.12330825043936
3,rbf,14,-21.12330825043936
3,rbf,15,-21.12330825043936
3,rbf,16,-21.12330825043936
3,rbf,17,-21.12330825043936
3,rbf,18,-21.12330825043936
3,rbf,19,-21.12330825043936
3,rbf,20,-21.12330825043936
3,rbf,21,-21.12330825043936
3,rbf,22,-21.12330825043936
3,rbf,23,-21.12330825043936
3,rbf,24,-21.12330825043936
3,rbf,25,-21.12330825043936
3,rbf,26,-21.12330825043936
3,rbf,27,-21.12330825043936
3,rbf,28,-21.12330825043936
3,rbf,29,-21.12330825043936
3,rbf,30,-20.859521585995495
3,rbf,31,-20.859521585995495
3,rbf,32,-20.859521585995495
3,rbf,33,-20.859521585995495
3,rbf,34,-20.859521585995495
3,rbf,35,-20.859521585995495
3,rbf,36,-20.859521585995495
3,rbf,37,-20.12048125799956
3,rbf,38,-20.12048125799956
3,rbf,39,-20.12048125799956
3,rbf,40,-20.12048125799956
3,rbf,41,-20.12048125799956
3,rbf,42,-20.12048125799956
3,rbf,43,-20.12048125799956
3,rbf,44,-20.12048125799956
3,rbf,45,-20.12048125799956
3,rbf,46,-20.12048125799956
3,rbf,47,-20.12048125799956
3,rbf,48,-20.12048125799956
3,rbf,49,-18.437536767877724
3,rbf,50,-18.437536767877724
3,rbf,51,-18.437536767877724
3,rbf,52,-18.08739975520819
3,rbf,53,-17.761458815057324
3,rbf,54,-17.761458815057324
3,rbf,55,-17.447506239237786
3,rbf,56,-17.447506239237786
3,rbf,57,-17.34404523467703
3,rbf,58,-17.34404523467703
3,rbf,59,-17.34404523467703
3,rbf,60,-17.34404523467703
3,rbf,61,-17.34404523467703
3,rbf,62,-17.30594024814735
3,rbf,63,-17.30594024814735
3,rbf,64,-17.30594024814735
3,rbf,65,-17.30594024814735
3,rbf,66,-17.30594024814735
3,rbf,67,-17.30594024814735
3,rbf,68,-17.30594024814735
3,rbf,69,-17.30594024814735
3,rbf,70,-17.30594024814735
3,rbf,71,-17.30594024814735
3,rbf,72,-17.30594024814735
3,rbf,73,-17.135678602423194
3,rbf,74,-17.135678602423194
3,rbf,75,-17.135678602423194
3,rbf,76,-17.135678602423194
3,rbf,77,-17.135678602423194
3,rbf,78,-17.135678602423194
3,rbf,79,-17.135678602423194
3,rbf,80,-17.135678602423194
3,rbf,81,-17.135678602423194
3,rbf,82,-16.681492056199815
3,rbf,83,-16.681492056199815
3,rbf,84,-16.681492056199815
3,rbf,85,-16.681492056199815
3,rbf,86,-16.506214737115098
3,rbf,87,-16.506214737115098
3,rbf,88,-16.506214737115098
3,rbf,89,-16.506214737115098
3,rbf,90,-16.506214737115098
3,rbf,91,-16.482491485222155
3,rbf,92,-16.482491485222155
3,rbf,93,-16.482491485222155
3,rbf,94,-16.39805344019832
3,rbf,95,-16.39805344019832
3,rbf,96,-16.39805344019832
3,rbf,97,-16.39805344019832
3,rbf,98,-16.39805344019832
3,rbf,99,-16.39805344019832
3,rbf,100,-16.18759240171636
4,rbf,1,-21.03526390458227
4,rbf,2,-21.03526390458227
4,rbf,3,-21.03526390458227
4,rbf,4,-21.03526390458227
4,rbf,5,-21.03526390458227
4,rbf,6,-21.03526390458227
4,rbf,7,-21.03526390458227
4,rbf,8,-21.03526390458227
4,rbf,9,-21.03526390458227
4,rbf,10,-21.03526390458227
4,rbf,11,-21.03526390458227
4,rbf,12,-21.03526390458227
4,rbf,13,-21.03526390458227
4,rbf,14,-21.03526390458227
4,rbf,15,-21.03526390458227
4,rbf,16,-21.03526390458227
4,rbf,17,-21.03526390458227
4,rbf,18,-21.03526390458227
4,rbf,19,-21.03526390458227
4,rbf,20,-21.03526390458227
4,rbf,21,-21.03526390458227
4,rbf,22,-21.03526390458227
4,rbf,23,-21.03526390458227
