seed,kernel,iteration,best_obj_val
1,rbf,1,-10.386123587452987
1,rbf,2,-10.386123587452987
1,rbf,3,-10.386123587452987
1,rbf,4,-10.386123587452987
1,rbf,5,-10.386123587452987
1,rbf,6,-10.386123587452987
1,rbf,7,-10.386123587452987
1,rbf,8,-10.386123587452987
1,rbf,9,-10.386123587452987
1,rbf,10,-8.532984773410876
1,rbf,11,-8.532984773410876
1,rbf,12,-8.532984773410876
1,rbf,13,-8.532984773410876
1,rbf,14,-8.532984773410876
1,rbf,15,-8.532984773410876
1,rbf,16,-8.532984773410876
1,rbf,17,-8.532984773410876
1,rbf,18,-8.532984773410876
1,rbf,19,-8.532984773410876
1,rbf,20,-8.532984773410876
1,rbf,21,-8.532984773410876
1,rbf,22,-8.532984773410876
1,rbf,23,-8.532984773410876
1,rbf,24,-8.532984773410876
1,rbf,25,-8.532984773410876
1,rbf,26,-8.532984773410876
1,rbf,27,-8.530881446042503
1,rbf,28,-8.530881446042503
1,rbf,29,-8.530881446042503
1,rbf,30,-8.530881446042503
1,rbf,31,-8.530881446042503
1,rbf,32,-8.530881446042503
1,rbf,33,-8.407845522707442
1,rbf,34,-8.407845522707442
1,rbf,35,-8.407845522707442
1,rbf,36,-8.407845522707442
1,rbf,37,-8.407845522707442
1,rbf,38,-8.407845522707442
1,rbf,39,-8.407845522707442
1,rbf,40,-8.407845522707442
1,rbf,41,-8.407845522707442
1,rbf,42,-8.407845522707442
1,rbf,43,-8.407845522707442
1,rbf,44,-8.407845522707442
1,rbf,45,-6.444195708761091
1,rbf,46,-6.444195708761091
1,rbf,47,-6.444195708761091
1,rbf,48,-6.444195708761091
1,rbf,49,-6.444195708761091
1,rbf,50,-6.444195708761091
2,rbf,1,-7.359704502799751
2,rbf,2,-7.359704502799751
2,rbf,3,-7.359704502799751
2,rbf,4,-7.359704502799751
2,rbf,5,-7.359704502799751
2,rbf,6,-7.359704502799751
2,rbf,7,-7.359704502799751
2,rbf,8,-7.359704502799751
2,rbf,9,-7.359704502799751
2,rbf,10,-7.359704502799751
2,rbf,11,-6.021769322155475
2,rbf,12,-6.021769322155475
2,rbf,13,-6.021769322155475
2,rbf,14,-6.021769322155475
2,rbf,15,-6.021769322155475
2,rbf,16,-6.021769322155475
2,rbf,17,-6.021769322155475
2,rbf,18,-6.021769322155475
2,rbf,19,-6.021769322155475
2,rbf,20,-6.021769322155475
2,rbf,21,-6.021769322155475
2,rbf,22,-6.021769322155475
2,rbf,23,-6.021769322155475
2,rbf,24,-6.021769322155475
2,rbf,25,-6.021769322155475
2,rbf,26,-6.021769322155475
2,rbf,27,-6.021769322155475
2,rbf,28,-6.021769322155475
2,rbf,29,-6.021769322155475
2,rbf,30,-6.021769322155475
2,rbf,31,-6.021769322155475
2,rbf,32,-6.021769322155475
2,rbf,33,-6.021769322155475
2,rbf,34,-6.021769322155475
2,rbf,35,-6.021769322155475
2,rbf,36,-6.021769322155475
2,rbf,37,-6.021769322155475
2,rbf,38,-6.021769322155475
2,rbf,39,-6.021769322155475
2,rbf,40,-6.021769322155475
2,rbf,41,-6.021769322155475
2,rbf,42,-6.021769322155475
2,rbf,43,-6.021769322155475
2,rbf,44,-6.021769322155475
2,rbf,45,-6.021769322155475
2,rbf,46,-6.021769322155475
2,rbf,47,-6.021769322155475
2,rbf,48,-6.021769322155475
2,rbf,49,-6.021769322155475
2,rbf,50,-6.021769322155475
3,rbf,1,-8.923063999044178
3,rbf,2,-8.923063999044178
3,rbf,3,-8.923063999044178
3,rbf,4,-8.923063999044178
3,rbf,5,-8.923063999044178
3,rbf,6,-8.923063999044178
3,rbf,7,-8.923063999044178
3,rbf,8,-8.923063999044178
3,rbf,9,-8.923063999044178
3,rbf,10,-8.923063999044178
3,rbf,11,-8.923063999044178
3,rbf,12,-8.923063999044178
3,rbf,13,-7.364081363617357
3,rbf,14,-7.364081363617357
3,rbf,15,-7.364081363617357
3,rbf,16,-7.364081363617357
3,rbf,17,-7.364081363617357
3,rbf,18,-7.364081363617357
3,rbf,19,-7.364081363617357
3,rbf,20,-7.364081363617357
3,rbf,21,-7.364081363617357
3,rbf,22,-6.421122596498847
3,rbf,23,-6.421122596498847
3,rbf,24,-6.421122596498847
3,rbf,25,-6.421122596498847
3,rbf,26,-6.421122596498847
3,rbf,27,-5.995619139523697
3,rbf,28,-5.995619139523697
3,rbf,29,-5.995619139523697
3,rbf,30,-5.995619139523697
3,rbf,31,-5.995619139523697
3,rbf,32,-5.995619139523697
3,rbf,33,-5.995619139523697
3,rbf,34,-5.995619139523697
3,rbf,35,-5.995619139523697
3,rbf,36,-5.995619139523697
3,rbf,37,-5.995619139523697
3,rbf,38,-5.995619139523697
3,rbf,39,-5.995619139523697
3,rbf,40,-5.995619139523697
3,rbf,41,-5.995619139523697
3,rbf,42,-5.995619139523697
3,rbf,43,-5.995619139523697
3,rbf,44,-5.995619139523697
3,rbf,45,-5.995619139523697
3,rbf,46,-5.995619139523697
3,rbf,47,-5.995619139523697
3,rbf,48,-5.995619139523697
3,rbf,49,-5.995619139523697
3,rbf,50,-5.995619139523697
4,rbf,1,-11.261296041809974
4,rbf,2,-11.261296041809974
4,rbf,3,-11.261296041809974
4,rbf,4,-11.261296041809974
4,rbf,5,-11.261296041809974
4,rbf,6,-11.261296041809974
4,rbf,7,-11.201534323415789
4,rbf,8,-11.201534323415789
4,rbf,9,-10.794862884496698
4,rbf,10,-10.794862884496698
4,rbf,11,-10.794862884496698
4,rbf,12,-10.794862884496698
4,rbf,13,-10.794862884496698
4,rbf,14,-10.794862884496698
4,rbf,15,-10.794862884496698
4,rbf,16,-10.794862884496698
4,rbf,17,-10.794862884496698
4,rbf,18,-10.794862884496698
4,rbf,19,-10.794862884496698
4,rbf,20,-10.794862884496698
4,rbf,21,-10.794862884496698
4,rbf,22,-10.794862884496698
4,rbf,23,-10.794862884496698
4,rbf,24,-10.794862884496698
4,rbf,25,-10.794862884496698
