mean_constant,lengthscale,outputscale,noise,alpha,beta,iteration
0.0028263318742305123,11.802277452419538,1.020943317333219,4.510871591081961e-07,0.29521346238515866,4.398429635037311,1
-0.28226830558906296,10.780093860525087,1.7563803739621684,9.09507718290715e-14,1.9733440462993999,4.95805358763059,2
-0.14932122041756474,4.8384555700249186,0.9671873691877972,4.090825013320877e-14,1.9869410981111628,6.345251697519543,3
-0.39049209718955624,5.574603639112367,0.926433464869434,3.7912139604321695e-14,1.9912111313845284,6.709755840318098,4
-0.582158169339081,6.589233541198306,0.7893222388612979,3.4407371754553334e-14,1.9936391239049704,7.18131346458439,5
-0.6859366616471723,7.211400589278731,0.6714279094673447,3.0653335099774206e-14,1.9951426614312187,7.693516460942181,6
-0.7781423188270796,7.801774993372819,0.592663294710033,2.699727096127412e-14,1.9961549918819927,8.187141424410264,7
-0.845896040617971,8.215622446199472,0.5367464057829144,2.374134901043274e-14,1.9968567140720235,8.674241327448811,8
-0.8679445893953689,8.254689813493181,0.5040882816492154,2.1218681840089536e-14,1.997314115178541,9.15256623148533,9
-0.9413487291920376,8.720492014239284,0.4683898477275875,1.9006728910814644e-14,1.9976987685363545,9.576205699586618,10
-1.0057115530223826,9.22879149029323,0.4541572855338294,1.694651328071721e-14,1.9980318139736881,9.988692160117933,11
-1.0463935672631228,9.451536290050171,0.4270177154849339,1.5196080149969267e-14,1.9982884295189132,10.408118886586626,12
-1.0894135357561268,9.708363385710543,0.40294880519220755,1.3716001294717242e-14,1.9984935368332104,10.806876029756472,13
-1.133915587164543,10.007548706694488,0.3848283826844393,1.2453747351011017e-14,1.9986643771314523,11.18965440496119,14
-1.1749238010538907,10.262370674524835,0.3684209006044343,1.1378126132352767e-14,1.9988064318605474,11.564795604503153,15
-1.2199447468932054,10.603888625382346,0.3711185052974524,1.0461349238974536e-14,1.9989273244659784,11.917879032414554,16
-1.254274242577153,10.80485400760182,0.3560734949393778,9.665363892492089e-15,1.9990288636549312,12.27201459087311,17
-1.2931886950569986,11.091479213733574,0.3466380436943451,8.987702320274008e-15,1.9991173808226008,12.609051559350219,18
-1.3206397089430553,11.242420287353914,0.3340300272686981,8.390603912000002e-15,1.9991925131393316,12.948658818651806,19
-1.3604062630368983,11.531653077639865,0.32867548899726595,7.879141370381754e-15,1.999259155212,13.267575233754156,20
-1.3901856935065495,11.710038789446909,0.3179912574039464,7.429053494038923e-15,1.9993172021553693,13.589845256688806,21
-1.4249057039866948,11.938038399685713,0.31028246580273205,7.034840393204795e-15,1.999368687052361,13.901411105892105,22
-1.4596388137330067,12.178391681848677,0.30589145001766915,6.691277840674796e-15,1.999414522684641,14.205750552322638,23
-1.4915035661459197,12.384630629087722,0.29908629272541765,6.389325428367566e-15,1.9994553665385633,14.507908253664507,24
-1.5223861955182423,12.580118244547636,0.2927622165195063,6.121965899255308e-15,1.9994919165324048,14.806137264655684,25
-1.5510919249841713,12.745728500830037,0.2858239394712895,5.883478934202496e-15,1.9995246698612958,15.102676332991887,26
-1.5793049236898102,12.9060674213752,0.2795244980361987,5.670152728730084e-15,1.9995541789443951,15.395588706228226,27
-1.6074301675781728,13.068018772656286,0.27396437342082247,5.47934640844951e-15,1.9995809228902608,15.684677100639762,28
-1.6354928363480132,13.232403889897503,0.2691494882305522,5.308369696580177e-15,1.999605289287029,15.970264075664051,29
-1.6609645190773168,13.373674757976246,0.2642705085597795,5.155901652485192e-15,1.999627478345632,16.25477713111269,30
-1.676759188683678,13.443637228963453,0.260842863828202,5.018961389435161e-15,1.9996473806698825,16.540424989243405,31
-1.695009864006521,13.535578845746262,0.25565871941602236,4.8957961886320666e-15,1.9996655258622158,16.819779747543137,32
-1.7328166216834144,13.784203198699656,0.25614366255580967,4.784428078646982e-15,1.999682915939426,17.08388569768788,33
-1.7685917954635493,14.039148570055007,0.2602279203191671,4.681427851357384e-15,1.9996993212923488,17.344734261851134,34
-1.7968070371946447,14.23705264165006,0.2593094939928529,4.595977639018118e-15,1.9997146043326952,17.60813135282093,35
-1.8189174928942697,14.361710386201773,0.2551457651814675,4.522986984334152e-15,1.999728737492191,17.876497253198732,36
-1.8412170965212808,14.49758547696324,0.251435103194253,4.461657443984748e-15,1.9997418839341337,18.142428259093705,37
-1.8657349972071566,14.657940118934594,0.2490037848764894,4.4134884463442286e-15,1.9997541751418286,18.40480640342867,38
-1.8889552999507564,14.80383998112014,0.24613222598541923,4.378027657183037e-15,1.9997656580975018,18.667392685535763,39
-1.910388876672147,14.92969427151737,0.24279975259296288,4.353944131524314e-15,1.9997763756905407,18.93082000696602,40
-1.9346902881079093,15.086684339223735,0.24116721462686114,4.3407387232616155e-15,1.9997864304546658,19.190215352182108,41
-1.955847494478511,15.207979448571772,0.23808402040774426,4.339205348800996e-15,1.9997958421942423,19.452021702045712,42
-1.9779445726502387,15.336318209272612,0.23534050660687997,4.3498037444146675e-15,1.9998046833028993,19.71256583257128,43
-2.0001682533829737,15.46516986960742,0.2328247228846173,4.373211844687011e-15,1.9998130030628667,19.97257102318766,44
-2.021377252465301,15.583591624121793,0.230223531154563,4.4103515343055824e-15,1.9998208319273518,20.23309814298,45
-2.0435143967744684,15.714620185733237,0.22821282314382052,4.461421210826271e-15,1.9998282248593353,20.492172021421293,46
-2.0663310315105083,15.859450247535397,0.22746348385141102,4.524240261685442e-15,1.9998352187428314,20.74936661596207,47
-2.0879348292361546,15.992649776480059,0.22589917921742209,4.604016035802866e-15,1.999841836457562,21.00718352297239,48
-2.1089314982892704,16.123230763570326,0.22442826898278917,4.703415594882206e-15,1.9998481045967114,21.2649581602148,49
-2.1262291657691867,16.214645967679314,0.22236360255798882,4.824252709276102e-15,1.9998540117235346,21.525809862558773,50
-2.144691086158145,16.323599469640463,0.2203112792321488,4.971726567291853e-15,1.9998596124530046,21.785086795851928,51
-2.16667453078329,16.46943987105737,0.21986641774428847,5.1482611144886915e-15,1.9998649562945656,22.040990912818092,52
-2.187348933767527,16.606050481534343,0.219107380358116,5.363329317959943e-15,1.999870046559241,22.297596092237512,53
-2.2070771995532996,16.73670346001173,0.2182344074998936,5.630320392073304e-15,1.9998748890747426,22.55460196725796,54
-2.22435273135935,16.839895145549153,0.2163626374982685,5.9608643935729975e-15,1.9998794912823663,22.81429697230742,55
-2.2425878002041855,16.951072319516403,0.2146642781828867,6.375527699535275e-15,1.9998838760272515,23.073741706153918,56
-2.26232926385021,17.0786114829197,0.2136975357896046,6.9048838115077495e-15,1.9998880608633314,23.33203346597068,57
-2.2813809646901846,17.206759555808468,0.2133447651047301,7.60460615067797e-15,1.9998920444957258,23.589999815894675,58
-2.2999599187921955,17.326178056589466,0.21220367661488826,8.56586507501709e-15,1.9998958444485067,23.848902462033926,59
-2.3181870020456095,17.436849330286556,0.21067018073197052,9.934298694966945e-15,1.9998994750582388,24.10916084741931,60
-2.3365070311107354,17.549182803336382,0.20932612969120604,1.2014844309097516e-14,1.9999029457459299,24.369904440850508,61
-2.3539482836771164,17.650230266962854,0.20777473997248874,1.5464899373080708e-14,1.9999062640017138,24.632378635318123,62
-2.371262457948411,17.753266535972408,0.2063290254549275,2.2165355525778398e-14,1.9999094403635047,24.89551379184172,63
-2.3890027697012948,17.867606686264438,0.2052932426741565,4.0228911078608244e-14,1.9999124845708796,25.158429014507266,64
-2.405268816969916,17.971776952014217,0.2039698722162971,1.6490783239789542e-13,1.9999154063637243,25.423022093962494,65
-2.42651884415441,18.206285796175933,0.20425028683707522,2.439154952842721e-12,1.9999183271184222,25.676083628687238,66
-2.448362527033509,18.27836367274501,0.2031021152069942,1.4385314828104439e-12,1.9999212208101171,25.944745205386482,67
-2.4618107974812657,18.35326316696649,0.2015852334524215,1.2899570849847306e-12,1.9999239841796805,26.21467649381785,68
