mean_constant,lengthscale,outputscale,noise,nu,iteration
-0.006631627292879025,1.2979771269830451,1.0,0.006737556945307083,2.5,1
-0.07223317114558353,0.9288876879758857,1.0,0.00672183035097799,2.5,2
-0.08688592639786784,0.3576069592322804,1.0,0.006755281956968909,2.5,3
-0.09161370799274521,0.38436483311727876,1.0,0.006729496116173682,2.5,4
-0.08912676022895677,0.38010135962700065,1.0,0.006728474098289913,2.5,5
-0.08654615011992452,0.3772332766850664,1.0,0.006725289739019206,2.5,6
-0.08192556053356218,0.373577070665558,1.0,0.006724950352104186,2.5,7
-0.06798127266291608,0.38041833701373035,1.0,0.0067419102887436135,2.5,8
-0.06677455954413555,0.3773601358728207,1.0,0.006737909875204906,2.5,9
-0.06520840957624663,0.3743142813602507,1.0,0.006735892973797469,2.5,10
-0.0600103639254034,0.37352041458442936,1.0,0.006740054549789851,2.5,11
-0.05837335769567717,0.37100938528488364,1.0,0.006737590440709811,2.5,12
-0.056728191267418696,0.36805972134305515,1.0,0.006735953648510145,2.5,13
-0.05321563516766612,0.3659338444397092,1.0,0.0067375240619543435,2.5,14
-0.052360224261334395,0.363570619469691,1.0,0.006735599312348658,2.5,15
-0.048952498147739075,0.3625195745136678,1.0,0.006738554931777982,2.5,16
-0.04727405595548827,0.359810756073756,1.0,0.006737617983620911,2.5,17
-0.04612121636402836,0.3573169170781115,1.0,0.0067363047046653576,2.5,18
-0.0451477207454012,0.35515614823252767,1.0,0.006734881931347315,2.5,19
-0.04465457680970079,0.3546877459010292,1.0,0.006733378586849303,2.5,20
