mean_constant,lengthscale,outputscale,noise,alpha,beta,iteration
-1.1587854623794556,0.13728229701519012,2.315288782119751,2.1755620593921776e-07,1.0666183233261108,2.845310688018799,1
-1.1443947553634644,0.1333545446395874,2.3370039463043213,2.1609201894534635e-07,1.0753891468048096,2.8616745471954346,2
-1.1596689224243164,0.12964168190956116,2.357776165008545,2.1456280308029818e-07,1.0857927799224854,2.876962184906006,3
-1.1746885776519775,0.12581028044223785,2.3790855407714844,2.128549283497705e-07,1.0977495908737183,2.892756462097168,4
-1.1917674541473389,0.12174640595912933,2.4012787342071533,2.108769052711068e-07,1.111243486404419,2.90960693359375,5
-1.2075467109680176,0.11738453060388565,2.424557685852051,2.08675345447773e-07,1.125736951828003,2.927854537963867,6
-1.222991943359375,0.1127563863992691,2.448728322982788,2.0615733831164107e-07,1.141615629196167,2.9473812580108643,7
-1.2378915548324585,0.10783430188894272,2.4738993644714355,2.033370662957168e-07,1.1586251258850098,2.968379497528076,8
-1.2525237798690796,0.1026981845498085,2.499664306640625,2.0020434021716937e-07,1.1769919395446777,2.9905009269714355,9
-1.2030866146087646,0.09711295366287231,2.527536392211914,1.9692561181727797e-07,1.1935982704162598,3.014930486679077,10
-1.197698950767517,0.09202717244625092,2.552950143814087,1.9356595259978349e-07,1.2110379934310913,3.03666090965271,11
-1.1944326162338257,0.08723460137844086,2.576789379119873,1.901121606806555e-07,1.2284798622131348,3.056671380996704,12
-1.1976391077041626,0.08272550255060196,2.5989623069763184,1.8656335498690169e-07,1.2461549043655396,3.0749852657318115,13
-1.202715277671814,0.07827039062976837,2.6190857887268066,1.8292374193151772e-07,1.2638112306594849,3.0929641723632812,14
-1.204841136932373,0.07363471388816833,2.638795852661133,1.7923045447787445e-07,1.2804523706436157,3.112114429473877,15
-1.2100485563278198,0.06944923847913742,2.6549885272979736,1.7549656661230983e-07,1.2986042499542236,3.1284844875335693,16
-1.2125190496444702,0.06563770771026611,2.6682918071746826,1.7167994315059332e-07,1.3177870512008667,3.142361640930176,17
-1.208159327507019,0.062463801354169846,2.6736483573913574,1.6770913191521686e-07,1.3394644260406494,3.1515207290649414,18
-1.1825168132781982,0.05615326762199402,2.6946051120758057,1.6388361245844862e-07,1.3472037315368652,3.1838550567626953,19
-1.1766715049743652,0.05283280834555626,2.69408917427063,1.602745953732665e-07,1.3674200773239136,3.1945769786834717,20
-1.1707801818847656,0.04967651888728142,2.6898152828216553,1.5656621599191567e-07,1.3879865407943726,3.2036795616149902,21
-1.1693695783615112,0.04661082848906517,2.682373046875,1.5273435849394446e-07,1.4100368022918701,3.2117695808410645,22
-1.1660590171813965,0.0436263270676136,2.6718249320983887,1.487679526235297e-07,1.4331022500991821,3.2188944816589355,23
-1.163743495941162,0.04070080444216728,2.657411813735962,1.442643480231709e-07,1.4587019681930542,3.2250466346740723,24
-1.158204436302185,0.03768216818571091,2.6394741535186768,1.3949595256690372e-07,1.4855120182037354,3.2315096855163574,25
-1.1509084701538086,0.03478606417775154,2.6155357360839844,1.3453187364120822e-07,1.5141953229904175,3.2361557483673096,26
-1.137121558189392,0.031926095485687256,2.5851762294769287,1.2937984195104946e-07,1.5443161725997925,3.239518642425537,27
-1.1007248163223267,0.029217373579740524,2.5420196056365967,1.2405212146404665e-07,1.575254201889038,3.2399096488952637,28
-1.0864903926849365,0.026653634384274483,2.4882688522338867,1.1853465764488647e-07,1.6075791120529175,3.2372539043426514,29
-1.072292447090149,0.02427336387336254,2.42311954498291,1.1276865308218476e-07,1.6415889263153076,3.2305595874786377,30
-1.0536119937896729,0.022046558558940887,2.34590482711792,1.0671027439457248e-07,1.6767984628677368,3.2198057174682617,31
-1.0223758220672607,0.020003734156489372,2.255082368850708,1.0037212661018202e-07,1.7116115093231201,3.204012870788574,32
-1.0008081197738647,0.018205944448709488,2.1523892879486084,9.372971021548437e-08,1.7466741800308228,3.1835291385650635,33
-0.9859306812286377,0.016710421070456505,2.04024338722229,8.65566747165758e-08,1.7807164192199707,3.15765380859375,34
