iteration,best_obj_val
1,-89224.87065507664
2,-89224.87065507664
3,-89224.87065507664
4,-89224.87065507664
5,-89224.87065507664
6,-89224.87065507664
7,-89224.87065507664
8,-67554.59368679588
9,-67554.59368679588
10,-67554.59368679588
11,-67554.59368679588
12,-67554.59368679588
13,-67554.59368679588
14,-67554.59368679588
15,-67554.59368679588
16,-67554.59368679588
17,-67554.59368679588
18,-67554.59368679588
19,-67554.59368679588
20,-67554.59368679588
21,-67554.59368679588
22,-67554.59368679588
23,-67554.59368679588
24,-67554.59368679588
25,-67554.59368679588
26,-67554.59368679588
27,-67554.59368679588
28,-67554.59368679588
29,-67554.59368679588
30,-67554.59368679588
31,-67554.59368679588
32,-67554.59368679588
33,-67554.59368679588
34,-67554.59368679588
35,-67554.59368679588
36,-67554.59368679588
37,-67554.59368679588
38,-67554.59368679588
39,-67554.59368679588
40,-67554.59368679588
41,-67554.59368679588
42,-67554.59368679588
43,-67554.59368679588
44,-67554.59368679588
45,-67554.59368679588
46,-67554.59368679588
47,-67554.59368679588
48,-67554.59368679588
49,-67554.59368679588
50,-67554.59368679588
51,-67554.59368679588
52,-67554.59368679588
53,-67554.59368679588
54,-67554.59368679588
55,-67554.59368679588
56,-67554.59368679588
57,-67554.59368679588
58,-67554.59368679588
59,-67554.59368679588
60,-67554.59368679588
61,-67554.59368679588
62,-67554.59368679588
63,-67554.59368679588
64,-67554.59368679588
65,-67554.59368679588
66,-67554.59368679588
67,-67554.59368679588
68,-67554.59368679588
69,-67554.59368679588
70,-67554.59368679588
71,-67554.59368679588
72,-67554.59368679588
73,-67554.59368679588
74,-67554.59368679588
75,-67554.59368679588
76,-67554.59368679588
77,-67554.59368679588
78,-67554.59368679588
79,-67554.59368679588
80,-67554.59368679588
81,-67554.59368679588
82,-67554.59368679588
83,-67554.59368679588
84,-67554.59368679588
85,-67554.59368679588
86,-67554.59368679588
87,-67554.59368679588
88,-67554.59368679588
89,-67554.59368679588
90,-67554.59368679588
91,-67554.59368679588
92,-67554.59368679588
93,-67554.59368679588
94,-67554.59368679588
95,-67554.59368679588
96,-67554.59368679588
97,-67554.59368679588
98,-67554.59368679588
99,-67554.59368679588
100,-67554.59368679588
101,-67554.59368679588
102,-67554.59368679588
103,-67554.59368679588
104,-67554.59368679588
105,-67554.59368679588
106,-67554.59368679588
107,-67554.59368679588
108,-67554.59368679588
109,-67554.59368679588
110,-67554.59368679588
111,-67554.59368679588
112,-67554.59368679588
113,-67554.59368679588
114,-67554.59368679588
115,-67554.59368679588
116,-67554.59368679588
117,-67554.59368679588
118,-67554.59368679588
119,-67554.59368679588
120,-67554.59368679588
121,-67554.59368679588
122,-67554.59368679588
123,-67554.59368679588
124,-67554.59368679588
125,-67554.59368679588
126,-67554.59368679588
127,-67554.59368679588
128,-67554.59368679588
129,-67554.59368679588
130,-67554.59368679588
131,-67554.59368679588
132,-67554.59368679588
133,-67554.59368679588
134,-67554.59368679588
135,-67554.59368679588
136,-67554.59368679588
137,-67554.59368679588
138,-67554.59368679588
139,-67554.59368679588
140,-67554.59368679588
141,-67554.59368679588
142,-67554.59368679588
143,-67554.59368679588
144,-67554.59368679588
145,-67554.59368679588
146,-67554.59368679588
147,-67554.59368679588
148,-67554.59368679588
149,-67554.59368679588
150,-67554.59368679588
151,-67554.59368679588
152,-67554.59368679588
153,-67554.59368679588
154,-67554.59368679588
155,-67554.59368679588
156,-67554.59368679588
157,-67554.59368679588
158,-67554.59368679588
159,-67554.59368679588
160,-67554.59368679588
161,-67554.59368679588
162,-67554.59368679588
163,-67554.59368679588
164,-67554.59368679588
165,-67554.59368679588
166,-67554.59368679588
167,-67554.59368679588
168,-67554.59368679588
169,-67554.59368679588
170,-67554.59368679588
171,-67554.59368679588
172,-67554.59368679588
173,-67554.59368679588
174,-67554.59368679588
175,-67554.59368679588
176,-67554.59368679588
177,-67554.59368679588
178,-67554.59368679588
179,-67554.59368679588
180,-67554.59368679588
181,-67554.59368679588
182,-67554.59368679588
183,-67554.59368679588
184,-67554.59368679588
185,-67554.59368679588
186,-67554.59368679588
187,-67554.59368679588
188,-67554.59368679588
189,-67090.90012044969
190,-67090.90012044969
191,-63020.10469759657
192,-63020.10469759657
193,-57268.167920829466
194,-57268.167920829466
195,-57268.167920829466
196,-47274.54198104015
197,-44252.59923798411
198,-44252.59923798411
199,-37285.48280991378
200,-37285.48280991378
201,-37285.48280991378
202,-37285.48280991378
203,-37285.48280991378
204,-37285.48280991378
205,-37285.48280991378
206,-37285.48280991378
207,-37285.48280991378
208,-37285.48280991378
209,-37285.48280991378
210,-34298.723930844804
