mean_constant,lengthscale,outputscale,noise,iteration
-7.041896804310367e-06,0.5257963054605874,0.990009625368767,0.009995358108948442,1
-0.07326665966641709,1.457664921466437,0.9516941043070951,0.009991672054436091,2
-0.4873205380117224,3.3047713738631996,1.1593358986742717,3.887243414340809e-06,3
-0.37629302528577024,2.459788416740142,0.8800230240518792,1.1044626761578013e-06,4
-0.46657088000520747,2.5322799084359455,0.7314703343096293,1.0385183116720598e-06,5
-0.5668292659947148,2.5552643239590163,0.6345679698647739,9.417999884498491e-07,6
-0.647242126200834,2.613774045924538,0.5652051875049412,8.217244238588591e-07,7
-0.7146372575285018,2.659736835115903,0.5117773853273643,7.203975517075741e-07,8
-0.7853658060870283,2.7066724773390822,0.4745289506201446,6.226619041207766e-07,9
-0.851958799446049,2.7422013550444113,0.44854624514827846,5.246399640727802e-07,10
-0.8994348911735708,2.77551838865417,0.4203596569302408,4.452195430862887e-07,11
-0.9422685701510722,2.8045894490897485,0.39849386088436056,3.8199169827173586e-07,12
-0.9806382550486945,2.8308709617664256,0.38039719516542364,3.3163512481425485e-07,13
-1.01683663447574,2.852551553399028,0.3628240406178946,2.926344350369262e-07,14
-1.0523653432737894,2.8664566207216753,0.3472583156793124,2.625942088589891e-07,15
-1.0876852145583535,2.88749855547786,0.3359806189201761,2.3834936924394906e-07,16
-1.121468321183762,2.9070126894066295,0.32551674943723485,2.1869201401670924e-07,17
-1.1554072860520523,2.921123099063477,0.3146360142669673,2.0299515697886686e-07,18
-1.1880474032229267,2.931547387764641,0.30535971188205224,1.904714679181281e-07,19
-1.2205231351142511,2.948655006258702,0.2973331309657871,1.8027391164198685e-07,20
-1.2523122528510746,2.9650471222458608,0.2902622786536668,1.7194419809526683e-07,21
-1.2828918920492727,2.9802122804602145,0.28399113851032864,1.6519039655215946e-07,22
-1.3119816287534407,2.9946640828912954,0.2790249508632843,1.5965356598152938e-07,23
-1.3359287403954725,2.9917154251340325,0.2751397171747448,1.5514798920458426e-07,24
-1.360702529753441,2.9885489146921804,0.2695357812320788,1.5150719737155075e-07,25
-1.395279661483303,3.0178513473090858,0.2677599333126736,1.485350750852987e-07,26
-1.422865048099025,3.0315660825364286,0.2634836571242415,1.4679627640162097e-07,27
-1.4453086237788504,3.026320219789815,0.25900958244146494,1.455957841829098e-07,28
-1.4756946880907,3.0518910999597297,0.2580066787108476,1.4560554658185002e-07,29
-1.5012645030193301,3.071650770889432,0.2571218880978459,1.475050113756593e-07,30
-1.524421013802414,3.086135655596442,0.25489251349654796,1.514538667243294e-07,31
-1.5481379030120275,3.089456603235595,0.250793188682538,1.5723457613909527e-07,32
-1.57032265942078,3.0872033694577556,0.24713040421012122,1.645127293506974e-07,33
-1.5910273788438698,3.084811399421908,0.24328109773874076,1.7338734874018962e-07,34
-1.6127907091193658,3.087638334054512,0.23969378367312638,1.843222325253394e-07,35
-1.6381429830376024,3.109378297520683,0.23925944995305826,1.9868060466459856e-07,36
-1.6608234043193288,3.129161822945694,0.23927734985326748,2.203943688900275e-07,37
-1.6831381879714278,3.1364327879896554,0.23648091403515753,2.534008418984333e-07,38
-1.7054888618785846,3.139041680543126,0.23343356587669797,3.0365840617868377e-07,39
-1.726981203929569,3.140911283789353,0.23048575635740481,3.8578554357077484e-07,40
-1.7483373575684176,3.149687532601186,0.22826669046121065,5.513659799671044e-07,41
-1.7697423436178592,3.160528264221694,0.22667613549491208,1.0483330075857696e-06,42
-1.7918492522570748,3.1759391806817434,0.22551589680441592,7.761661990074424e-06,43
-1.8254135244558654,3.2140309503884117,0.226108860645562,5.4144097552034256e-05,44
-1.8424475965043798,3.1920030275154905,0.22247320249412986,3.4283456160707084e-05,45
-1.863757635157602,3.194722634469884,0.22033324256133877,3.2943937423561843e-05,46
-1.8848533806108831,3.19874304263185,0.21843268368045218,3.269764830703167e-05,47
-1.9046258892257304,3.2297772589837614,0.21975746153630166,4.8520166493340276e-05,48
-1.9215971656153168,3.2595152000189143,0.2212772424415413,6.654992167778965e-05,49
-1.9397050071626962,3.277519128229392,0.22126344407658344,7.45434065052988e-05,50
-1.9564099608068892,3.2968712840702175,0.2212806844945443,8.657543038626609e-05,51
-1.9738466450897239,3.310364989981746,0.22140327946984256,9.134367028064305e-05,52
-1.9915344223009197,3.319852565036485,0.22064622518914687,9.319870570323016e-05,53
-2.0089224604956915,3.3240081689207277,0.21887367525048154,9.335264198244996e-05,54
-2.0253742815738636,3.321465505036487,0.21714295688278573,9.212267379149067e-05,55
